timestamp,user,ip,port,kind
Aug 22 10:24:57,usernotexists,127.0.0.1,38194,invalid
Aug 22 10:24:59,usernotexists,127.0.0.1,40484,invalid
Aug 22 10:25:02,usernotexists,127.0.0.1,40488,invalid
Aug 22 10:25:05,usernotexists,127.0.0.1,40500,invalid
Aug 22 10:25:09,usernotexists,127.0.0.1,40502,invalid
Aug 22 10:25:14,usernotexists,127.0.0.1,46586,invalid
Aug 22 10:25:17,usernotexists,127.0.0.1,46598,invalid
Aug 22 10:25:20,usernotexists,127.0.0.1,60300,invalid
Aug 22 12:26:17,kali,127.0.0.1,52760,valid
Aug 22 12:26:20,kali,127.0.0.1,59678,valid
Aug 22 12:26:23,kali,127.0.0.1,59688,valid
Aug 22 12:26:25,kali,127.0.0.1,59704,valid
Aug 22 12:26:28,kali,127.0.0.1,59712,valid
Aug 22 12:26:31,kali,127.0.0.1,36368,valid
Aug 22 12:29:40,kali,127.0.0.1,38942,valid
Aug 22 12:29:42,kali,127.0.0.1,38950,valid
Aug 22 12:29:46,kali,127.0.0.1,38956,valid
Aug 22 12:29:48,kali,127.0.0.1,38962,valid
Aug 22 12:29:50,kali,127.0.0.1,52878,valid
Aug 22 12:29:54,kali,127.0.0.1,52886,valid
Aug 22 12:36:12,kali,127.0.0.1,52106,valid
Aug 22 12:36:16,kali,127.0.0.1,52114,valid
Aug 22 12:36:19,kali,127.0.0.1,37622,valid
Aug 22 12:36:22,kali,127.0.0.1,37636,valid
Aug 22 12:36:25,kali,127.0.0.1,37650,valid
Aug 22 12:36:26,kali,127.0.0.1,37666,valid
Aug 22 13:51:16,usernotexists,127.0.0.1,51194,invalid
Aug 22 13:51:18,usernotexists,127.0.0.1,51196,invalid
Aug 22 13:51:21,usernotexists,127.0.0.1,48340,invalid
Aug 22 13:51:23,usernotexists,127.0.0.1,48344,invalid
Aug 22 13:51:26,usernotexists,127.0.0.1,48352,invalid
Aug 22 13:51:30,usernotexists,127.0.0.1,55070,invalid
Aug 22 13:51:34,usernotexists,127.0.0.1,55076,invalid
